ntp_time,throughput
1654263245.675345,64674.20062675476
1654263250.675345,83916.3737247944
1654263255.675345,67131.59235057831
1654263260.675345,72580.00287399293
1654263265.675345,72565.37851700783
1654263270.675345,66841.98471746445
1654263275.675345,61141.97362389563
1654263280.675345,77895.20126399994
1654263285.675345,61249.76720223427
1654263290.675345,61199.218703317645
1654263295.675345,61383.62358212471
1654263300.675345,72478.38413143158
1654263305.675345,66704.18061232567
1654263310.675345,66968.75425462723
1654263315.675345,61296.35184278488
1654263320.675345,61304.83577299118
1654263325.675345,61304.160145998
1654263330.675345,61357.99096260071
1654263335.675345,66962.63534145356
1654263340.675345,55785.850926113126
1654263345.675345,67045.40695185661
1654263350.675345,55854.18679976463
1654263355.675345,55883.476415014266
1654263360.675345,67104.38987379074
1654263365.675345,55960.196410655975
1654263370.675345,55974.43087472916
1654263375.675345,56072.57814116478
1654263380.675345,56008.244666147235
1654263385.675345,56092.82147774696
1654263390.675345,61710.40761342049
1654263395.675345,56176.340722084045
1654263400.675345,56211.07343692779
1654263405.675345,56232.17341094017
1654263410.675345,56259.015498161316
1654263415.675345,61925.45201187134
1654263420.675345,56326.83024082184
1654263425.675345,50750.18728971481
1654263430.675345,62016.067839431766
1654263435.675345,56388.448263597485
1654263440.675345,56411.202742004374
1654263445.675345,56470.44014778137
1654263450.675345,62111.823389387144
1654263455.675345,50903.37236890793
1654263460.675345,50890.978205776206
1654263465.675345,62130.97235436439
1654263470.675345,50821.98363037109
1654263475.675345,56464.6146132946
1654263480.675345,56462.42304854392
1654263485.675345,56515.16334066391
1654263490.675345,56480.543470335004
1654263495.675345,56592.16977915764
1654263500.675345,56642.8759953022
1654263505.675345,56639.50370078087
1654263510.675345,56705.79163413048
1654263515.675345,56713.2363653183
1654263520.675345,58216.19814043045
1654263525.675345,58778.600278759004
1654263530.675345,52511.032016420366
1654263535.675345,64097.444602203366
1654263540.675345,58247.59168844223
1654263545.675345,58289.64578738213
1654263550.675345,63950.01574921608
1654263555.675345,57983.60422787666
1654263560.675345,58034.80504536629
1654263565.675345,57997.61662507057
1654263570.675345,57969.23057560921
1654263575.675345,63723.61383271217
1654263580.675345,57775.00798835753
1654263585.675345,57756.603833436966
